date,permit
1960-01-01,1092.0
1960-02-01,1088.0
1960-03-01,955.0
1960-04-01,1016.0
1960-05-01,1052.0
1960-06-01,958.0
1960-07-01,999.0
1960-08-01,994.0
1960-09-01,984.0
1960-10-01,972.0
1960-11-01,979.0
1960-12-01,951.0
1961-01-01,969.0
1961-02-01,961.0
1961-03-01,1000.0
1961-04-01,1002.0
1961-05-01,1027.0
1961-06-01,1070.0
1961-07-01,1083.0
1961-08-01,1159.0
1961-09-01,1098.0
1961-10-01,1123.0
1961-11-01,1152.0
1961-12-01,1161.0
1962-01-01,1122.0
1962-02-01,1194.0
1962-03-01,1134.0
1962-04-01,1235.0
1962-05-01,1142.0
1962-06-01,1154.0
1962-07-01,1189.0
1962-08-01,1200.0
1962-09-01,1223.0
1962-10-01,1181.0
1962-11-01,1236.0
1962-12-01,1236.0
1963-01-01,1248.0
1963-02-01,1212.0
1963-03-01,1258.0
1963-04-01,1288.0
1963-05-01,1350.0
1963-06-01,1345.0
1963-07-01,1321.0
1963-08-01,1310.0
1963-09-01,1413.0
1963-10-01,1414.0
1963-11-01,1357.0
1963-12-01,1423.0
1964-01-01,1296.0
1964-02-01,1442.0
1964-03-01,1313.0
1964-04-01,1264.0
1964-05-01,1299.0
1964-06-01,1280.0
1964-07-01,1304.0
1964-08-01,1306.0
1964-09-01,1265.0
1964-10-01,1230.0
1964-11-01,1254.0
1964-12-01,1164.0
1965-01-01,1264.0
1965-02-01,1185.0
1965-03-01,1211.0
1965-04-01,1162.0
1965-05-01,1207.0
1965-06-01,1241.0
1965-07-01,1237.0
1965-08-01,1249.0
1965-09-01,1227.0
1965-10-01,1279.0
1965-11-01,1306.0
1965-12-01,1315.0
1966-01-01,1325.0
1966-02-01,1159.0
1966-03-01,1234.0
1966-04-01,1145.0
1966-05-01,1078.0
1966-06-01,956.0
1966-07-01,932.0
1966-08-01,877.0
1966-09-01,774.0
1966-10-01,739.0
1966-11-01,736.0
1966-12-01,743.0
1967-01-01,995.0
1967-02-01,907.0
1967-03-01,955.0
1967-04-01,1035.0
1967-05-01,1076.0
1967-06-01,1169.0
1967-07-01,1177.0
1967-08-01,1229.0
1967-09-01,1279.0
1967-10-01,1280.0
1967-11-01,1297.0
1967-12-01,1315.0
1968-01-01,1179.0
1968-02-01,1342.0
1968-03-01,1370.0
1968-04-01,1286.0
1968-05-01,1297.0
1968-06-01,1300.0
1968-07-01,1344.0
1968-08-01,1357.0
1968-09-01,1464.0
1968-10-01,1421.0
1968-11-01,1436.0
1968-12-01,1389.0
1969-01-01,1459.0
1969-02-01,1495.0
1969-03-01,1438.0
1969-04-01,1441.0
1969-05-01,1328.0
1969-06-01,1349.0
1969-07-01,1278.0
1969-08-01,1317.0
1969-09-01,1263.0
1969-10-01,1216.0
1969-11-01,1191.0
1969-12-01,1155.0
1970-01-01,1062.0
1970-02-01,1118.0
1970-03-01,1132.0
1970-04-01,1224.0
1970-05-01,1328.0
1970-06-01,1322.0
1970-07-01,1324.0
1970-08-01,1394.0
1970-09-01,1426.0
1970-10-01,1564.0
1970-11-01,1502.0
1970-12-01,1767.0
1971-01-01,1643.0
1971-02-01,1588.0
1971-03-01,1759.0
1971-04-01,1745.0
1971-05-01,1972.0
1971-06-01,1903.0
1971-07-01,2069.0
1971-08-01,2004.0
1971-09-01,1996.0
1971-10-01,2026.0
1971-11-01,2079.0
1971-12-01,2133.0
1972-01-01,2238.0
1972-02-01,2169.0
1972-03-01,2105.0
1972-04-01,2139.0
1972-05-01,2067.0
1972-06-01,2183.0
1972-07-01,2195.0
1972-08-01,2263.0
1972-09-01,2393.0
1972-10-01,2354.0
1972-11-01,2234.0
1972-12-01,2419.0
1973-01-01,2271.0
1973-02-01,2226.0
1973-03-01,2062.0
1973-04-01,1908.0
1973-05-01,1931.0
1973-06-01,2051.0
1973-07-01,1819.0
1973-08-01,1809.0
1973-09-01,1704.0
1973-10-01,1411.0
1973-11-01,1402.0
1973-12-01,1288.0
1974-01-01,1331.0
1974-02-01,1360.0
1974-03-01,1440.0
1974-04-01,1254.0
1974-05-01,1138.0
1974-06-01,1086.0
1974-07-01,1002.0
1974-08-01,917.0
1974-09-01,840.0
1974-10-01,824.0
1974-11-01,783.0
1974-12-01,869.0
1975-01-01,726.0
1975-02-01,729.0
1975-03-01,709.0
1975-04-01,866.0
1975-05-01,914.0
1975-06-01,946.0
1975-07-01,1020.0
1975-08-01,994.0
1975-09-01,1064.0
1975-10-01,1096.0
1975-11-01,1110.0
1975-12-01,1091.0
1976-01-01,1195.0
1976-02-01,1190.0
1976-03-01,1164.0
1976-04-01,1132.0
1976-05-01,1194.0
1976-06-01,1188.0
1976-07-01,1245.0
1976-08-01,1309.0
1976-09-01,1481.0
1976-10-01,1425.0
1976-11-01,1531.0
1976-12-01,1511.0
1977-01-01,1466.0
1977-02-01,1560.0
1977-03-01,1660.0
1977-04-01,1660.0
1977-05-01,1668.0
1977-06-01,1752.0
1977-07-01,1687.0
1977-08-01,1780.0
1977-09-01,1674.0
1977-10-01,1758.0
1977-11-01,1771.0
1977-12-01,1754.0
1978-01-01,1740.0
1978-02-01,1736.0
1978-03-01,1799.0
1978-04-01,1948.0
1978-05-01,1766.0
1978-06-01,1983.0
1978-07-01,1786.0
1978-08-01,1691.0
1978-09-01,1751.0
1978-10-01,1781.0
1978-11-01,1795.0
1978-12-01,1818.0
1979-01-01,1461.0
1979-02-01,1492.0
1979-03-01,1720.0
1979-04-01,1597.0
1979-05-01,1684.0
1979-06-01,1640.0
1979-07-01,1534.0
1979-08-01,1591.0
1979-09-01,1638.0
1979-10-01,1481.0
1979-11-01,1276.0
1979-12-01,1254.0
1980-01-01,1280.0
1980-02-01,1199.0
1980-03-01,988.0
1980-04-01,808.0
1980-05-01,861.0
1980-06-01,1118.0
1980-07-01,1259.0
1980-08-01,1367.0
1980-09-01,1484.0
1980-10-01,1366.0
1980-11-01,1383.0
1980-12-01,1249.0
1981-01-01,1221.0
1981-02-01,1199.0
1981-03-01,1183.0
1981-04-01,1190.0
1981-05-01,1173.0
1981-06-01,976.0
1981-07-01,935.0
1981-08-01,889.0
1981-09-01,847.0
1981-10-01,731.0
1981-11-01,748.0
1981-12-01,796.0
1982-01-01,794.0
1982-02-01,808.0
1982-03-01,891.0
1982-04-01,888.0
1982-05-01,953.0
1982-06-01,913.0
1982-07-01,1044.0
1982-08-01,926.0
1982-09-01,1042.0
1982-10-01,1149.0
1982-11-01,1229.0
1982-12-01,1351.0
1983-01-01,1426.0
1983-02-01,1471.0
1983-03-01,1475.0
1983-04-01,1566.0
1983-05-01,1669.0
1983-06-01,1769.0
1983-07-01,1795.0
1983-08-01,1713.0
1983-09-01,1585.0
1983-10-01,1716.0
1983-11-01,1668.0
1983-12-01,1627.0
1984-01-01,1816.0
1984-02-01,1987.0
1984-03-01,1725.0
1984-04-01,1776.0
1984-05-01,1741.0
1984-06-01,1814.0
1984-07-01,1605.0
1984-08-01,1530.0
1984-09-01,1523.0
1984-10-01,1490.0
1984-11-01,1643.0
1984-12-01,1626.0
1985-01-01,1660.0
1985-02-01,1662.0
1985-03-01,1727.0
1985-04-01,1664.0
1985-05-01,1709.0
1985-06-01,1716.0
1985-07-01,1697.0
1985-08-01,1808.0
1985-09-01,1916.0
1985-10-01,1743.0
1985-11-01,1692.0
1985-12-01,1794.0
1986-01-01,1847.0
1986-02-01,1767.0
1986-03-01,1780.0
1986-04-01,1858.0
1986-05-01,1797.0
1986-06-01,1790.0
1986-07-01,1780.0
1986-08-01,1726.0
1986-09-01,1686.0
1986-10-01,1675.0
1986-11-01,1644.0
1986-12-01,1903.0
1987-01-01,1690.0
1987-02-01,1689.0
1987-03-01,1704.0
1987-04-01,1601.0
1987-05-01,1500.0
1987-06-01,1522.0
1987-07-01,1516.0
1987-08-01,1511.0
1987-09-01,1514.0
1987-10-01,1447.0
1987-11-01,1457.0
1987-12-01,1345.0
1988-01-01,1244.0
1988-02-01,1438.0
1988-03-01,1525.0
1988-04-01,1429.0
1988-05-01,1444.0
1988-06-01,1485.0
1988-07-01,1439.0
1988-08-01,1460.0
1988-09-01,1436.0
1988-10-01,1516.0
1988-11-01,1508.0
1988-12-01,1501.0
1989-01-01,1466.0
1989-02-01,1383.0
1989-03-01,1214.0
1989-04-01,1376.0
1989-05-01,1381.0
1989-06-01,1322.0
1989-07-01,1283.0
1989-08-01,1334.0
1989-09-01,1314.0
1989-10-01,1365.0
1989-11-01,1344.0
1989-12-01,1422.0
1990-01-01,1748.0
1990-02-01,1329.0
1990-03-01,1246.0
1990-04-01,1136.0
1990-05-01,1067.0
1990-06-01,1108.0
1990-07-01,1078.0
1990-08-01,1069.0
1990-09-01,976.0
1990-10-01,925.0
1990-11-01,941.0
1990-12-01,861.0
1991-01-01,786.0
1991-02-01,853.0
1991-03-01,911.0
1991-04-01,916.0
1991-05-01,991.0
1991-06-01,964.0
1991-07-01,973.0
1991-08-01,944.0
1991-09-01,974.0
1991-10-01,991.0
1991-11-01,984.0
1991-12-01,1061.0
1992-01-01,1077.0
1992-02-01,1146.0
1992-03-01,1082.0
1992-04-01,1054.0
1992-05-01,1056.0
1992-06-01,1057.0
1992-07-01,1089.0
1992-08-01,1075.0
1992-09-01,1114.0
1992-10-01,1132.0
1992-11-01,1118.0
1992-12-01,1176.0
1993-01-01,1177.0
1993-02-01,1148.0
1993-03-01,1056.0
1993-04-01,1104.0
1993-05-01,1112.0
1993-06-01,1130.0
1993-07-01,1174.0
1993-08-01,1230.0
1993-09-01,1251.0
1993-10-01,1287.0
1993-11-01,1357.0
1993-12-01,1461.0
1994-01-01,1390.0
1994-02-01,1269.0
1994-03-01,1342.0
1994-04-01,1392.0
1994-05-01,1396.0
1994-06-01,1357.0
1994-07-01,1335.0
1994-08-01,1377.0
1994-09-01,1412.0
1994-10-01,1397.0
1994-11-01,1340.0
1994-12-01,1396.0
1995-01-01,1282.0
1995-02-01,1254.0
1995-03-01,1226.0
1995-04-01,1259.0
1995-05-01,1271.0
1995-06-01,1305.0
1995-07-01,1354.0
1995-08-01,1386.0
1995-09-01,1421.0
1995-10-01,1400.0
1995-11-01,1430.0
1995-12-01,1442.0
1996-01-01,1387.0
1996-02-01,1420.0
1996-03-01,1437.0
1996-04-01,1463.0
1996-05-01,1457.0
1996-06-01,1429.0
1996-07-01,1450.0
1996-08-01,1413.0
1996-09-01,1392.0
1996-10-01,1358.0
1996-11-01,1412.0
1996-12-01,1411.0
1997-01-01,1382.0
1997-02-01,1445.0
1997-03-01,1436.0
1997-04-01,1421.0
1997-05-01,1414.0
1997-06-01,1402.0
1997-07-01,1440.0
1997-08-01,1449.0
1997-09-01,1494.0
1997-10-01,1499.0
1997-11-01,1469.0
1997-12-01,1456.0
1998-01-01,1555.0
1998-02-01,1647.0
1998-03-01,1605.0
1998-04-01,1547.0
1998-05-01,1554.0
1998-06-01,1551.0
1998-07-01,1610.0
1998-08-01,1654.0
1998-09-01,1577.0
1998-10-01,1719.0
1998-11-01,1672.0
1998-12-01,1742.0
1999-01-01,1732.0
1999-02-01,1720.0
1999-03-01,1665.0
1999-04-01,1600.0
1999-05-01,1640.0
1999-06-01,1702.0
1999-07-01,1682.0
1999-08-01,1671.0
1999-09-01,1551.0
1999-10-01,1649.0
1999-11-01,1672.0
1999-12-01,1683.0
2000-01-01,1727.0
2000-02-01,1692.0
2000-03-01,1651.0
2000-04-01,1597.0
2000-05-01,1543.0
2000-06-01,1572.0
2000-07-01,1542.0
2000-08-01,1552.0
2000-09-01,1570.0
2000-10-01,1577.0
2000-11-01,1614.0
2000-12-01,1543.0
2001-01-01,1699.0
2001-02-01,1656.0
2001-03-01,1659.0
2001-04-01,1666.0
2001-05-01,1665.0
2001-06-01,1626.0
2001-07-01,1598.0
2001-08-01,1615.0
2001-09-01,1565.0
2001-10-01,1566.0
2001-11-01,1651.0
2001-12-01,1680.0
2002-01-01,1665.0
2002-02-01,1787.0
2002-03-01,1691.0
2002-04-01,1669.0
2002-05-01,1716.0
2002-06-01,1758.0
2002-07-01,1738.0
2002-08-01,1695.0
2002-09-01,1803.0
2002-10-01,1799.0
2002-11-01,1771.0
2002-12-01,1896.0
2003-01-01,1808.0
2003-02-01,1854.0
2003-03-01,1757.0
2003-04-01,1803.0
2003-05-01,1835.0
2003-06-01,1875.0
2003-07-01,1885.0
2003-08-01,1966.0
2003-09-01,1961.0
2003-10-01,2012.0
2003-11-01,1918.0
2003-12-01,1987.0
2004-01-01,1952.0
2004-02-01,1966.0
2004-03-01,2066.0
2004-04-01,2070.0
2004-05-01,2150.0
2004-06-01,2020.0
2004-07-01,2112.0
2004-08-01,2056.0
2004-09-01,2041.0
2004-10-01,2097.0
2004-11-01,2079.0
2004-12-01,2082.0
2005-01-01,2139.0
2005-02-01,2114.0
2005-03-01,2062.0
2005-04-01,2150.0
2005-05-01,2085.0
2005-06-01,2178.0
2005-07-01,2203.0
2005-08-01,2219.0
2005-09-01,2263.0
2005-10-01,2170.0
2005-11-01,2218.0
2005-12-01,2120.0
2006-01-01,2212.0
2006-02-01,2141.0
2006-03-01,2118.0
2006-04-01,1998.0
2006-05-01,1905.0
2006-06-01,1867.0
2006-07-01,1763.0
2006-08-01,1722.0
2006-09-01,1655.0
2006-10-01,1570.0
2006-11-01,1535.0
2006-12-01,1638.0
2007-01-01,1626.0
2007-02-01,1598.0
2007-03-01,1596.0
2007-04-01,1470.0
2007-05-01,1493.0
2007-06-01,1407.0
2007-07-01,1361.0
2007-08-01,1321.0
2007-09-01,1261.0
2007-10-01,1192.0
2007-11-01,1224.0
2007-12-01,1149.0
2008-01-01,1094.0
2008-02-01,1014.0
2008-03-01,967.0
2008-04-01,1008.0
2008-05-01,995.0
2008-06-01,1180.0
2008-07-01,921.0
2008-08-01,858.0
2008-09-01,797.0
2008-10-01,736.0
2008-11-01,626.0
2008-12-01,554.0
2009-01-01,545.0
2009-02-01,558.0
2009-03-01,513.0
2009-04-01,521.0
2009-05-01,556.0
2009-06-01,601.0
2009-07-01,595.0
2009-08-01,616.0
2009-09-01,609.0
2009-10-01,583.0
2009-11-01,623.0
2009-12-01,664.0
2010-01-01,636.0
2010-02-01,650.0
2010-03-01,687.0
2010-04-01,637.0
2010-05-01,575.0
2010-06-01,587.0
2010-07-01,579.0
2010-08-01,580.0
2010-09-01,563.0
2010-10-01,558.0
2010-11-01,560.0
2010-12-01,632.0
2011-01-01,576.0
2011-02-01,542.0
2011-03-01,583.0
2011-04-01,581.0
2011-05-01,618.0
2011-06-01,636.0
2011-07-01,621.0
2011-08-01,647.0
2011-09-01,610.0
2011-10-01,671.0
2011-11-01,706.0
2011-12-01,697.0
2012-01-01,712.0
2012-02-01,738.0
2012-03-01,806.0
2012-04-01,732.0
2012-05-01,796.0
2012-06-01,794.0
2012-07-01,849.0
2012-08-01,840.0
2012-09-01,930.0
2012-10-01,887.0
2012-11-01,917.0
2012-12-01,941.0
2013-01-01,940.0
2013-02-01,980.0
2013-03-01,936.0
2013-04-01,1012.0
2013-05-01,1003.0
2013-06-01,942.0
2013-07-01,997.0
2013-08-01,964.0
2013-09-01,1004.0
2013-10-01,1044.0
2013-11-01,1029.0
2013-12-01,1005.0
2014-01-01,976.0
2014-02-01,1039.0
2014-03-01,1067.0
2014-04-01,1090.0
2014-05-01,1018.0
2014-06-01,1010.0
2014-07-01,1076.0
2014-08-01,1047.0
2014-09-01,1077.0
2014-10-01,1094.0
2014-11-01,1059.0
2014-12-01,1072.0
2015-01-01,1049.0
2015-02-01,1127.0
2015-03-01,1072.0
2015-04-01,1166.0
2015-05-01,1272.0
2015-06-01,1379.0
2015-07-01,1140.0
2015-08-01,1165.0
2015-09-01,1144.0
2015-10-01,1160.0
2015-11-01,1244.0
2015-12-01,1211.0
2016-01-01,1171.0
2016-02-01,1172.0
2016-03-01,1118.0
2016-04-01,1160.0
2016-05-01,1205.0
2016-06-01,1208.0
2016-07-01,1198.0
2016-08-01,1201.0
2016-09-01,1303.0
2016-10-01,1254.0
2016-11-01,1230.0
2016-12-01,1248.0
2017-01-01,1303.0
2017-02-01,1234.0
2017-03-01,1272.0
2017-04-01,1251.0
2017-05-01,1208.0
2017-06-01,1353.0
2017-07-01,1256.0
2017-08-01,1319.0
2017-09-01,1273.0
2017-10-01,1356.0
2017-11-01,1299.0
2017-12-01,1311.0
2018-01-01,1317.0
2018-02-01,1321.0
2018-03-01,1385.0
2018-04-01,1378.0
2018-05-01,1338.0
2018-06-01,1345.0
2018-07-01,1334.0
2018-08-01,1273.0
2018-09-01,1314.0
2018-10-01,1272.0
2018-11-01,1340.0
2018-12-01,1317.0
2019-01-01,1254.0
2019-02-01,1286.0
2019-03-01,1295.0
2019-04-01,1322.0
2019-05-01,1347.0
2019-06-01,1299.0
2019-07-01,1379.0
2019-08-01,1482.0
2019-09-01,1469.0
2019-10-01,1523.0
2019-11-01,1535.0
2019-12-01,1443.0
2020-01-01,1495.0
2020-02-01,1455.0
2020-03-01,1346.0
2020-04-01,1076.0
2020-05-01,1250.0
2020-06-01,1334.0
2020-07-01,1546.0
2020-08-01,1533.0
2020-09-01,1636.0
2020-10-01,1613.0
2020-11-01,1703.0
2020-12-01,1752.0
2021-01-01,1855.0
2021-02-01,1711.0
2021-03-01,1756.0
2021-04-01,1721.0
2021-05-01,1703.0
2021-06-01,1654.0
2021-07-01,1658.0
2021-08-01,1736.0
2021-09-01,1640.0
2021-10-01,1707.0
2021-11-01,1765.0
2021-12-01,1919.0
2022-01-01,1920.0
2022-02-01,1857.0
2022-03-01,1868.0
2022-04-01,1859.0
2022-05-01,1704.0
2022-06-01,1737.0
2022-07-01,1703.0
2022-08-01,1557.0
2022-09-01,1600.0
2022-10-01,1594.0
2022-11-01,1401.0
2022-12-01,1410.0
2023-01-01,1410.0
2023-02-01,1618.0
2023-03-01,1480.0
2023-04-01,1474.0
2023-05-01,1575.0
2023-06-01,1464.0
2023-07-01,1522.0
2023-08-01,1561.0
2023-09-01,1537.0
2023-10-01,1528.0
2023-11-01,1503.0
2023-12-01,1519.0
2024-01-01,1545.0
2024-02-01,1577.0
2024-03-01,1476.0
2024-04-01,1459.0
2024-05-01,1407.0
2024-06-01,1461.0
2024-07-01,1436.0
2024-08-01,1476.0
2024-09-01,1434.0
2024-10-01,1428.0
2024-11-01,1508.0
2024-12-01,1480.0
2025-01-01,1460.0
2025-02-01,1454.0
2025-03-01,1481.0
2025-04-01,1422.0
2025-05-01,1394.0
2025-06-01,1393.0
2025-07-01,1362.0
2025-08-01,1330.0
